TAIL_NUMBER,AVG_DELAY,PROPAGATION_COUNT,TOTAL_FLIGHTS
N622MQ,14.306358381502891,59,346
N934FR,23.069182389937108,59,318
N706SW,10.319672131147541,59,366
N418WN,12.892537313432836,59,335
N214FR,23.0,59,211
N702BR,13.814024390243903,59,328
N951SW,15.941176470588236,59,340
N969SW,19.14245014245014,59,351
N932EV,15.273239436619718,59,355
N624NK,14.794425087108014,59,287
N723EV,19.782208588957054,59,326
N110SY,33.45945945945946,59,222
N627SW,13.146974063400576,59,347
N976SW,14.444126074498568,59,349
N395SW,10.54911838790932,59,397
N660MQ,14.994318181818182,59,352
N580SW,7.984615384615385,59,455
N657MQ,11.792,59,375
N119SY,28.20909090909091,59,220
N928FR,21.790273556231003,59,329
N963SW,22.390243902439025,58,287
N691WN,13.327027027027027,58,370
N746SW,10.914835164835164,58,364
N923FR,15.516616314199396,58,331
N106SY,29.177884615384617,58,208
N923MQ,13.647540983606557,58,366
N221FR,34.33864541832669,58,251
N892AT,29.09933774834437,58,302
N712EV,18.083870967741934,58,310
N767SK,21.007407407407406,58,270
N942MQ,13.222222222222221,58,369
N362SW,12.656992084432718,58,379
N614MQ,13.80939226519337,58,362
N621SW,9.798029556650246,58,406
N253WN,11.788856304985337,58,341
N247JB,20.54225352112676,58,284
N632MQ,12.762942779291553,58,367
N346SW,12.934508816120907,58,397
N633MQ,16.533923303834808,58,339
N528MQ,25.471264367816094,57,261
N382SW,10.923482849604222,57,379
N983SW,13.93010752688172,57,372
N924SW,16.63302752293578,57,327
N651MQ,14.463343108504398,57,341
N725SW,11.692982456140351,57,342
N670MQ,17.799295774647888,57,284
N582SW,13.962209302325581,57,344
N566SW,15.854591836734693,57,392
N994AT,21.075528700906343,57,331
N783SK,25.166666666666668,57,264
N929SW,12.557471264367816,57,348
N569SW,12.302197802197803,56,364
N365SW,13.489614243323443,56,337
N639MQ,18.868794326241133,56,282
N367SW,11.196629213483146,56,356
N938SW,15.0,56,353
N567SW,10.210290827740492,56,447
N532NK,16.88135593220339,56,295
N695MQ,11.409921671018276,56,383
N345SA,11.691689008042895,56,373
N498CA,20.93913043478261,56,230
N727SW,10.10483870967742,56,372
N603SW,10.162303664921465,56,382
N754EV,18.620462046204622,56,303
N611QX,20.70242214532872,56,289
N939SW,19.662379421221864,56,311
N526MQ,26.0398406374502,56,251
N907EV,23.135220125786162,56,318
N605NK,26.573943661971832,56,284
N646SW,11.164835164835164,55,364
N641MQ,14.401785714285714,55,336
N441WN,10.894308943089431,55,369
N838MQ,21.7531914893617,55,235
N1EAMQ,22.334710743801654,55,242
N925FR,24.687306501547987,55,323
N933FR,17.769968051118212,55,313
N204FR,26.770731707317072,55,205
N631SW,13.234501347708894,55,371
N284WN,11.955555555555556,55,360
N366SW,12.567415730337078,55,356
N357SW,13.65648854961832,55,393
N761RR,14.2603550295858,55,338
N522MQ,20.76923076923077,55,260
N543MQ,28.36945812807882,55,203
N872AS,20.115853658536587,55,328
N245WN,13.745562130177515,55,338
N608JB,24.129032258064516,55,217
N7740A,11.64804469273743,55,358
N609MQ,18.78443113772455,55,334
N876AS,12.742316784869976,55,423
N458WN,14.921630094043888,55,319
N617MQ,16.107784431137723,55,334
N908SW,15.65606936416185,54,346
N509JB,28.62272727272727,54,220
N775SW,12.22191011235955,54,356
N457WN,13.15170278637771,54,323
N329JB,19.61230769230769,54,325
N513MQ,26.190045248868778,54,221
N863AS,9.813559322033898,54,413
N686BR,12.715404699738903,54,383
N482WN,12.917613636363637,54,352
N979SW,11.527777777777779,54,360
N930WN,17.116104868913858,54,267
N978SW,11.786458333333334,54,384
N279WN,14.438320209973753,54,381
N398CA,16.513793103448275,54,290
N724EV,24.05960264900662,54,302
N606NK,17.728571428571428,54,280
N611MQ,12.459317585301838,54,381
N524NK,17.806853582554517,54,321
N933EV,15.875690607734807,54,362
N626NK,19.26950354609929,54,282
N659SW,11.545454545454545,54,341
N658SW,11.362068965517242,54,348
N532MQ,23.67719298245614,54,285
N882AS,12.045454545454545,54,396
N693MQ,18.648902821316614,54,319
N380SW,13.112903225806452,54,372
N755EV,21.368965517241378,53,290
N385SW,13.505338078291816,53,281
N822MQ,20.779166666666665,53,240
N761ND,17.937062937062937,53,286
N620NK,31.289256198347108,53,242
N769SW,9.924731182795698,53,372
N900EV,7.721153846153846,53,416
N285WN,14.59824046920821,53,341
N451WN,13.985795454545455,53,352
N791SW,15.905198776758409,53,327
N762SW,14.005347593582888,53,374
N640MQ,13.794202898550724,53,345
N836AS,22.284246575342465,53,292
N614QX,20.174917491749174,53,303
N696MQ,15.090140845070422,53,355
N827MQ,17.7,53,270
N237SW,11.745098039215685,53,357
N484WN,9.5858310626703,53,367
N931MQ,16.318611987381704,53,317
N916EV,12.0859375,53,384
N634MQ,17.964,53,250
N712SK,16.22661870503597,53,278
N108SY,29.07456140350877,53,228
N190JB,22.08267716535433,53,254
N684MQ,12.977142857142857,53,350
N948SW,17.400621118012424,53,322
N920FR,12.52046783625731,53,342
N910SW,15.88562091503268,53,306
N739GB,11.692090395480227,53,354
N612NK,21.952380952380953,53,252
N611NK,18.081632653061224,52,245
N353SW,8.824022346368714,52,358
N624MQ,12.737951807228916,52,332
N656SW,11.52061855670103,52,388
N425LV,13.410404624277456,52,346
N372SW,12.288659793814434,52,388
N503NK,19.589403973509935,52,302
N485WN,12.180281690140845,52,355
N652SW,12.656891495601172,52,341
N504MQ,14.918495297805643,52,319
N649SW,11.182044887780549,52,401
N649MQ,11.58641975308642,52,324
N634SW,11.917705735660848,52,401
N593ML,12.72,52,350
N294JB,20.048076923076923,52,312
N281JB,15.266881028938906,52,311
N641SW,11.259946949602123,52,377
N907MQ,11.837837837837839,52,407
N925WN,13.228169014084507,52,355
N665MQ,11.979710144927536,52,345
N699MQ,13.219584569732937,52,337
N738EV,19.83108108108108,52,296
N967UW,13.233532934131736,52,334
N7815L,10.502777777777778,52,360
N125SY,29.260204081632654,52,196
N668MQ,9.507731958762887,52,388
N779CA,14.478753541076488,52,353
N771SK,12.142384105960264,52,302
N773SA,10.41081081081081,51,370
N982SW,16.079575596816976,51,377
N527JB,20.72300469483568,51,213
N714CB,13.351437699680512,51,313
N220FR,29.16346153846154,51,208
N249WN,12.348703170028818,51,347
N915SW,14.99090909090909,51,330
N916SW,16.893063583815028,51,346
N868AS,13.007425742574258,51,404
N933MQ,13.497109826589595,51,346
N837AS,20.75073313782991,51,341
N943FR,25.84331797235023,51,217
N258WN,10.923076923076923,51,364
N379SW,12.789617486338798,51,366
N601NK,17.533980582524272,51,309
N510NK,13.65527950310559,51,322
N906FR,18.8068669527897,51,233
N519NK,18.111475409836064,51,305
N874AS,26.490974729241877,51,277
N644SW,13.170212765957446,51,376
N787SA,14.198879551820728,50,357
N638MQ,11.128930817610064,50,318
N501MQ,27.057471264367816,50,174
N641JB,23.069124423963135,50,217
N485HA,0.835509138381201,50,766
N15980,14.280757097791797,50,317
N776SK,17.254901960784313,50,255
N625MQ,12.58805031446541,50,318
N910AT,20.898203592814372,50,334
N697MQ,12.427728613569322,50,339
N193JB,21.898360655737704,50,305
N369SW,14.636363636363637,50,308
N398SW,11.002645502645503,50,378
N631MQ,11.204204204204204,50,333
N951FR,32.682539682539684,50,189
N295WN,12.153409090909092,50,352
N603AT,18.059701492537314,50,335
N231JB,19.044067796610168,50,295
N824AS,13.212543554006968,50,287
N316JB,14.754789272030651,50,261
N602SW,10.256476683937823,50,386
N233LV,9.979166666666666,50,336
N234SW,15.716666666666667,50,300
N926SW,17.35763888888889,50,288
N927SW,15.925414364640885,50,362
N600WN,10.11221945137157,50,401
N239JB,15.214723926380367,50,326
N296JB,16.43030303030303,50,330
N855AS,11.850393700787402,49,381
N525MQ,16.04032258064516,49,248
N472CA,8.450142450142451,49,351
N472WN,12.19830028328612,49,353
N846AS,14.479338842975206,49,363
N636WN,14.84927536231884,49,345
N686MQ,11.61413043478261,49,368
N454SW,18.657894736842106,49,342
N624SW,10.2015503875969,49,387
N603MQ,19.834586466165412,49,266
N825MQ,11.631372549019607,49,255
N782SA,13.809917355371901,49,363
N744EV,21.346289752650176,49,283
N629SW,10.811046511627907,49,344
N881AS,14.090909090909092,49,352
N957WN,11.34435261707989,49,363
N618WN,9.50642673521851,49,389
N867AS,13.451977401129943,49,354
N215WN,10.597855227882038,49,373
N719SK,17.41522491349481,49,289
N770SA,14.610738255033556,49,298
N295SW,10.99240506329114,49,395
N615SW,11.188524590163935,49,366
N0EGMQ,22.442028985507246,49,276
N494WN,11.79108635097493,49,359
N117SY,28.38888888888889,49,198
N607AT,16.141176470588235,48,340
N949FR,15.25,48,304
N439WN,10.469945355191257,48,366
N609NK,20.733333333333334,48,285
N735SA,9.463414634146341,48,369
N236JB,11.928792569659443,48,323
N904WN,12.398809523809524,48,336
